,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Travel Sustainability,Description
25,Gambaro Hotel Brisbane,Brisbane,8.5,Very good ,"1,516 reviews",1.1 km from centre,Travel Sustainable,"Boasting free Wi-Fi, a restaurant and a bar, Gambaro Hotel is located in the heart of Brisbane's vibrant Caxton Street. This boutique property is a 4-minute walk from Suncorp Stadium. "
26,"Meriton Suites Herschel Street, Brisbane","Brisbane CBD, Brisbane",8.5,Very good ,"4,740 reviews",300 m from centre,Travel Sustainable,"Just 100 metres from the Brisbane River, Meriton Suites Herschel Street, Brisbane offer modern self-contained accommodation with a flat-screen TV and a DVD player on request. "
27,Rydges Fortitude Valley,"Bowen Hills, Brisbane",8.5,Very good ,"1,023 reviews",2.2 km from centre,Travel Sustainable,"Offering an outdoor pool and an onsite bar, Rydges Fortitude Valley is ideally positioned in the lively heart of the Brisbane Showgrounds precinct, only a short walk from the Royal International..."
28,Stamford Plaza Brisbane,"Brisbane CBD, Brisbane",8.4,Very good ,"4,085 reviews",0.8 km from centre,Travel Sustainable,"Offering absolute riverfront accommodation and featuring river views from every room, Stamford Plaza Brisbane is perfectly positioned on the banks of the Brisbane River and is just a few steps from..."
29,Art Series - The Johnson,"Spring Hill, Brisbane",8.5,Very good ,779 reviews,1 km from centre,Travel Sustainable,"Set in Brisbane, 700 metres from Roma Street Parklands, Art Series - The Johnson offers accommodation with an outdoor swimming pool, private parking, a fitness centre and a terrace. "
30,Essence Suites Taringa,Brisbane,8.7,Fabulous ,925 reviews,4.8 km from centre,Travel Sustainable,"Essence Suites Taringa offers 63 boutique hotel suites with an on-site restaurant, cafe and bar. "
31,Apartments on Connor,"Fortitude Valley, Brisbane",9.3,Superb ,266 reviews,2.1 km from centre,Travel Sustainable,"Situated in Brisbane, less than 1 km from New Farm Riverwalk and a 12-minute walk from Brisbane Showgrounds, Apartments on Connor features accommodation with free WiFi and a garden with a terrace and..."
32,Edward Lodge,"New Farm, Brisbane",9.1,Superb ,283 reviews,2.5 km from centre,Travel Sustainable,Edward Lodge is an elegant and stylish 1912 property situated in the heart of New Farm near the beautiful Brisbane River. 
33,Il Mondo Boutique Hotel,"Kangaroo Point, Brisbane",8.9,Fabulous ,511 reviews,1.4 km from centre,Not Travel Sustainable,"Just 150 metres from the CityCat and CityFerry, the Il Mondo Boutique Hotel offers free private parking on site. "
34,The Milton Brisbane,"Milton, Brisbane",8.6,Fabulous ,"1,111 reviews",1.7 km from centre,Travel Sustainable,"Built in 2015, The Milton Brisbane is centrally located, just 1.5 km from the city centre and a 20-minute drive from Brisbane Airport. "
35,Gambaro Hotel Brisbane,Brisbane,8.5,Very good ,"1,516 reviews",1.1 km from centre,Travel Sustainable,"Boasting free Wi-Fi, a restaurant and a bar, Gambaro Hotel is located in the heart of Brisbane's vibrant Caxton Street. This boutique property is a 4-minute walk from Suncorp Stadium. "
36,"Meriton Suites Herschel Street, Brisbane","Brisbane CBD, Brisbane",8.5,Very good ,"4,740 reviews",300 m from centre,Travel Sustainable,"Just 100 metres from the Brisbane River, Meriton Suites Herschel Street, Brisbane offer modern self-contained accommodation with a flat-screen TV and a DVD player on request. "
37,Rydges Fortitude Valley,"Bowen Hills, Brisbane",8.5,Very good ,"1,023 reviews",2.2 km from centre,Travel Sustainable,"Offering an outdoor pool and an onsite bar, Rydges Fortitude Valley is ideally positioned in the lively heart of the Brisbane Showgrounds precinct, only a short walk from the Royal International..."
38,Stamford Plaza Brisbane,"Brisbane CBD, Brisbane",8.4,Very good ,"4,085 reviews",0.8 km from centre,Travel Sustainable,"Offering absolute riverfront accommodation and featuring river views from every room, Stamford Plaza Brisbane is perfectly positioned on the banks of the Brisbane River and is just a few steps from..."
39,Art Series - The Johnson,"Spring Hill, Brisbane",8.5,Very good ,779 reviews,1 km from centre,Travel Sustainable,"Set in Brisbane, 700 metres from Roma Street Parklands, Art Series - The Johnson offers accommodation with an outdoor swimming pool, private parking, a fitness centre and a terrace. "
40,Essence Suites Taringa,Brisbane,8.7,Fabulous ,925 reviews,4.8 km from centre,Travel Sustainable,"Essence Suites Taringa offers 63 boutique hotel suites with an on-site restaurant, cafe and bar. "
41,Apartments on Connor,"Fortitude Valley, Brisbane",9.3,Superb ,266 reviews,2.1 km from centre,Travel Sustainable,"Situated in Brisbane, less than 1 km from New Farm Riverwalk and a 12-minute walk from Brisbane Showgrounds, Apartments on Connor features accommodation with free WiFi and a garden with a terrace and..."
42,Edward Lodge,"New Farm, Brisbane",9.1,Superb ,283 reviews,2.5 km from centre,Travel Sustainable,Edward Lodge is an elegant and stylish 1912 property situated in the heart of New Farm near the beautiful Brisbane River. 
43,Il Mondo Boutique Hotel,"Kangaroo Point, Brisbane",8.9,Fabulous ,511 reviews,1.4 km from centre,Not Travel Sustainable,"Just 150 metres from the CityCat and CityFerry, the Il Mondo Boutique Hotel offers free private parking on site. "
44,The Milton Brisbane,"Milton, Brisbane",8.6,Fabulous ,"1,111 reviews",1.7 km from centre,Travel Sustainable,"Built in 2015, The Milton Brisbane is centrally located, just 1.5 km from the city centre and a 20-minute drive from Brisbane Airport. "
45,Brisbane Holiday Village,"Eight Mile Plains, Brisbane",9.2,Superb ,195 reviews,13.1 km from centre,Not Travel Sustainable,"Ideally located for sightseeing, Brisbane Holiday Village is a 15-minute drive from central Brisbane. "
46,Courtyard by Marriott Brisbane South Bank,"South Brisbane, Brisbane",8.4,Very good ,"1,192 reviews",1.6 km from centre,Travel Sustainable,"Situated 5 minutes' walk from Brisbane River and South Bank Parklands, Courtyard by Marriott Brisbane South Bank boasts stylish rooms with free WiFi. "
47,Best Western Plus Hotel Diana,"Woolloongabba, Brisbane",8.5,Very good ,"2,334 reviews",2.1 km from centre,Travel Sustainable,"Situated in Brisbane's vibrant Southbank precinct, Best Western Plus Hotel Diana offers spacious air-conditioned rooms. Free WiFi and free parking is available. "
48,Spicers Balfour Hotel,"New Farm, Brisbane",8.9,Fabulous ,260 reviews,1.9 km from centre,Travel Sustainable,"Located in the fashionable suburb of New Farm, Spicers Balfour Hotel is an award-winning boutique hotel just 7 minutes’ from the Brisbane city centre. "
49,Quest Chermside on Playfield,"Chermside, Brisbane",8.6,Fabulous ,872 reviews,9.6 km from centre,Travel Sustainable,"Quest Chermside on Playfield offers accommodation with free WiFi in Brisbane, with 6 levels of superbly furnished, fully-equipped serviced apartments. "
50,"The Kingsford Brisbane Airport, Ascend Hotel Collection","Hamilton, Brisbane",8.5,Very good ,565 reviews,5.6 km from centre,Travel Sustainable,"Conveniently located 10 minutes' drive from both Brisbane Airport and Brisbane city centre, The Kingsford Brisbane Airport Hotel boasts a 24/7 front desk and a communal terrace. "
51,The Docks On Goodwin,"Kangaroo Point, Brisbane",8.7,Fabulous ,526 reviews,1.5 km from centre,Not Travel Sustainable,"This 4.5-star property offers affordable accommodation with free WiFi, in the heart of Kangaroo Point. It is close to the Brisbane River, Story Bridge and the ferry terminals. "
52,Calamvale Hotel Suites and Conference Centre,Brisbane,8.4,Very good ,791 reviews,16.1 km from centre,Travel Sustainable,Guests can enjoy dining at the onsite bar and restaurant when they stay at Calamvale Hotel Suites and Conference Centre. All modern rooms feature a flat-screen TV and a fridge. 
53,Novotel Brisbane South Bank,"South Brisbane, Brisbane",8.3,Very good ,"1,737 reviews",1 km from centre,Travel Sustainable,"Situated 200 metres from Brisbane Convention & Exhibition Centre, Novotel Brisbane South Bank offers 4-star accommodation in Brisbane and has a fitness centre, a restaurant and a bar. "
54,Heal House,"New Farm, Brisbane",9.9,Exceptional ,114 reviews,2.2 km from centre,Not Travel Sustainable,"Just 10 minutes’ drive from Brisbane City Centre, Heal House offers elegant suites with luxury amenities and free WiFi. Guests can relax on the spacious terrace, while enjoying the picturesque..."
55,Opera Apartments South Brisbane,"South Brisbane, Brisbane",8.5,Very good ,604 reviews,1 km from centre,Travel Sustainable,"Set in South Brisbane, 200 metres from the Brisbane Exhibition Centre and looking across the Brisbane River to Brisbane CBD, Opera Apartments - South Brisbane boasts a stunning rooftop outdoor pool,..."
56,Rydges South Bank Brisbane,"South Brisbane, Brisbane",8.4,Very good ,"1,316 reviews",0.9 km from centre,Not Travel Sustainable,"Enjoying a prime location on Brisbane's South Bank, Rydges offers rooms with views over the Brisbane River, Mount Cootha or the cosmopolitan West End. It houses a sauna and a gym. "
57,ibis Brisbane Airport,Brisbane,8.4,Very good ,"8,921 reviews",13.8 km from centre,Travel Sustainable,"Situated 7 km from Brisbane Entertainment Centre, ibis Brisbane Airport in Brisbane features a bar, an on-site restaurant and views of Moreton Bay and Brisbane's surrounds. "
58,"Meriton Suites Adelaide Street, Brisbane","Brisbane CBD, Brisbane",8.2,Very good ,"3,719 reviews",1.3 km from centre,Travel Sustainable,"Located in the heart of Brisbane’s CBD (Central Business District), Meriton Suites Adelaide Street, Brisbane offer 74 levels of spacious suites with floor-to-ceiling windows. "
59,Manor Apartment Hotel,"Brisbane CBD, Brisbane",8.6,Fabulous ,698 reviews,0.6 km from centre,Travel Sustainable,"Built in the 1930s, Manor Hotel is located in the heart of Brisbane’s CBD (Central Business District). "
60,Alpha Mosaic Hotel Fortitude Valley Brisbane,"Fortitude Valley, Brisbane",8.3,Very good ,823 reviews,2.3 km from centre,Not Travel Sustainable,"Just 8 minutes' walk from Jubilee Hotel and 10 minutes’ walk from the RNA Showgrounds, Alpha Mosaic Hotel boasts a restaurant, a bar and a sunny terrace. "
61,Sage Hotel James Street,"Fortitude Valley, Brisbane",8.4,Very good ,"1,771 reviews",2.3 km from centre,Travel Sustainable,"Boasting free unlimited WiFi, Sage Hotel James Street is situated in Brisbane. "
62,Wynnum Anchor Motel,Brisbane,8.7,Fabulous ,365 reviews,15.3 km from centre,Not Travel Sustainable,"Featuring  an outdoor swimming pool and BBQ facilities, Wynnum Anchor Motel is located 15 minutes’ drive from Brisbane Airport. This bayside motel offers free WiFi and free on-site parking. "
63,Aspley Sunset Motel,"Aspley, Brisbane",8.9,Fabulous ,276 reviews,11.1 km from centre,Not Travel Sustainable,"Offering an outdoor pool and free WiFi access, Aspley Sunset Motel is located a 20-minute drive from Brisbane city centre. The property offers free on site parking and BBQ facilities. "
64,The Colmslie Hotel,Brisbane,8.6,Fabulous ,642 reviews,5.6 km from centre,Travel Sustainable,The Colmslie Hotel is conveniently located 6 kilometres from the city centre in Brisbane's inner eastern suburbs. All rooms include king-size beds and free Wi-Fi internet access. 
65,Vine Apartments South Brisbane,"South Brisbane, Brisbane",8.5,Very good ,823 reviews,1 km from centre,Travel Sustainable,"Located in South Brisbane, opposite the Brisbane Convention Center, Vine Serviced Apartments offers free WiFi, a hot tub and a restaurant. Each self-contained apartment offers a balcony. "
66,Sofitel Brisbane Central,"Brisbane CBD, Brisbane",8.0,Very good ,813 reviews,0.6 km from centre,Travel Sustainable,"Located in Brisbane's CBD (Central Business District), the 5-star Sofitel Brisbane Central features a day spa, an outdoor pool, indulgent rooms and an a la carte restaurant, Suzette Restaurant. "
67,View Brisbane,"Hamilton, Brisbane",8.3,Very good ,"1,511 reviews",4.1 km from centre,Not Travel Sustainable,"View Brisbane offers spacious rooms along the riverfront at Hamilton. Facilities include a conference room, resort-style pool, spa pool, sauna and fitness centre. "
68,Adina Apartment Hotel Brisbane Anzac Square,"Brisbane CBD, Brisbane",8.4,Very good ,"1,839 reviews",500 m from centre,Travel Sustainable,"Built in the early 1900s, the historic Adina Apartment Hotel Brisbane is located opposite Central Railway Station and overlooks the Anzac Square Memorial Gardens. "
69,Coopers Colonial Motel,"Acacia Ridge, Brisbane",8.2,Very good ,"1,006 reviews",12.4 km from centre,Travel Sustainable,"A 20-minute drive from central Brisbane, Coopers Colonial Motel offers a restaurant and an outdoor pool. All rooms offer air conditioning, a 43-inch TV and free Netflix. "
70,Brisbane Skytower by CLLIX,"Brisbane CBD, Brisbane",7.9,Good ,"8,068 reviews",0.7 km from centre,Travel Sustainable,"Brisbane Skytower by CLLIX is located in the middle of Brisbane's CBD (Central Business District), only a short walk from a range of restaurants, gardens, parklands and entertainment districts,..."
71,Lvl 57 Skytower Breathtaking Views CBD Wifi Carpark by Stylish Stays,"Brisbane CBD, Brisbane",9.0,Superb ,88 reviews,0.7 km from centre,Not Travel Sustainable,"Located in a central area of Brisbane, Lvl 57 Skytower Breathtaking Views CBD Wifi Carpark by Stylish Stays provides accommodation with city views, just 600 metres from Queen Street Mall and 600..."
72,Hyatt Regency Brisbane,"Brisbane CBD, Brisbane",8.3,Very good ,"2,232 reviews",250 m from centre,Travel Sustainable,"Located opposite Queen Street Mall in Brisbane's CBD (Central Business District), Hyatt Regency Brisbane boasts a restaurant, a fitness centre and a rooftop swimming pool with a pool-side bar. "
73,"Holiday Inn Express Brisbane Central, an IHG Hotel","Spring Hill, Brisbane",8.4,Very good ,"2,418 reviews",0.9 km from centre,Travel Sustainable,"Ideally located on the border of the Brisbane Central Business District (CBD) and Spring Hill, Holiday Inn Express Brisbane Central is close to the city's business, retail, entertainment and leisure..."
74,Comfort Inn North Brisbane,"Carseldine, Brisbane",8.4,Very good ,"1,150 reviews",13.3 km from centre,Travel Sustainable,"Featuring a garden and free WiFi, Comfort Inn North Brisbane (formally Carseldine Plams Motel) is located in Brisbane, 6 km from Brisbane Entertainment Centre. "
75,Grove Manor,"Ashgrove, Brisbane",9.4,Superb ,130 reviews,4.3 km from centre,Travel Sustainable,"Just a 5-minute drive from Brisbane CBD, Grove Manor is a plantation-style country home set adjacent to parkland. "
76,Balmoral Queenslander,Brisbane,9.4,Superb ,94 reviews,4.4 km from centre,Travel Sustainable,"Featuring free WiFi throughout the property, Balmoral Queenslander is located in Brisbane, 3 km from Story Bridge and Brisbane CBD. "
77,MacArthur Chambers,"Brisbane CBD, Brisbane",8.3,Very good ,446 reviews,0.5 km from centre,Not Travel Sustainable,"Featuring a rooftop pool, a spa, and a BBQ area, MacArthur Chambers offers modern, stylish one and two bedroom apartments in the heart of Brisbane's CBD (Central Business District). "
78,Granny flat,Brisbane,8.9,Fabulous ,122 reviews,14 km from centre,Not Travel Sustainable,"Set in Brisbane, within 14 km of Boggo Road Gaol and 16 km of Southbank Station, Granny flat offers accommodation with a garden and free WiFi throughout the property as well as free private parking..."
79,Quality Hotel Robertson Gardens,Brisbane,8.3,Very good ,916 reviews,10.5 km from centre,Not Travel Sustainable,"Set on 10 acres of lovely gardens, Quality Hotel Robertson Gardens offers an outdoor pool and an onsite bar/restaurant. Guests enjoy free WiFi and rooms with a satellite TV, microwave and fridge. "
80,Hamptons Retreat on Level 77 Skytower,"Brisbane CBD, Brisbane",8.4,Very good ,108 reviews,0.7 km from centre,Not Travel Sustainable,"Set in Brisbane and only less than 1 km from Brisbane Central Station, Hamptons Retreat on Level 77 Skytower offers accommodation with city views, free WiFi and free private parking. "
81,Link Portside Wharf Apartment Hotel,"Hamilton, Brisbane",8.5,Very good ,233 reviews,5.5 km from centre,Travel Sustainable,"Located just 200 metres from Portside Wharf,  Link Portside Wharf Apartment Hotel offers stylish self-contained accommodation with free WiFi and a balcony. The property features free on-site parking. "
82,Oaks Brisbane Festival Suites,"Brisbane CBD, Brisbane",8.2,Very good ,"2,002 reviews",0.5 km from centre,Travel Sustainable,"Located in the heart of Brisbane's CBD (Central Business District), Oaks Brisbane Festival Suites offers self-contained accommodation with private balconies and city views. "
83,Lvl 59 Skytower Amazing Views CBD Wifi Carpark by Stylish Stays,"Brisbane CBD, Brisbane",8.9,Fabulous ,58 reviews,0.7 km from centre,Not Travel Sustainable,"Set in the centre of Brisbane, within 600 metres of Queen Street Mall and 600 metres of City Botanical Gardens, Lvl 59 Skytower Amazing Views CBD Wifi Carpark by Stylish Stays is an accommodation..."
84,ibis Styles Brisbane Elizabeth Street,"Brisbane CBD, Brisbane",8.4,Very good ,"2,816 reviews",350 m from centre,Not Travel Sustainable,"ibis Styles Brisbane Elizabeth Street is set in Brisbane, 100 metres from Treasury Building - Casino and 1.8 km from Suncorp Stadium. Guests can enjoy the on-site bar. Rooms have a TV. "
85,Hamptons Retreat on Level 77 Skytower,"Brisbane CBD, Brisbane",8.4,Very good ,108 reviews,0.7 km from centre,Not Travel Sustainable,"Set in Brisbane and only less than 1 km from Brisbane Central Station, Hamptons Retreat on Level 77 Skytower offers accommodation with city views, free WiFi and free private parking. "
86,Link Portside Wharf Apartment Hotel,"Hamilton, Brisbane",8.5,Very good ,233 reviews,5.5 km from centre,Travel Sustainable,"Located just 200 metres from Portside Wharf,  Link Portside Wharf Apartment Hotel offers stylish self-contained accommodation with free WiFi and a balcony. The property features free on-site parking. "
87,Oaks Brisbane Festival Suites,"Brisbane CBD, Brisbane",8.2,Very good ,"2,002 reviews",0.5 km from centre,Travel Sustainable,"Located in the heart of Brisbane's CBD (Central Business District), Oaks Brisbane Festival Suites offers self-contained accommodation with private balconies and city views. "
88,Lvl 59 Skytower Amazing Views CBD Wifi Carpark by Stylish Stays,"Brisbane CBD, Brisbane",8.9,Fabulous ,58 reviews,0.7 km from centre,Not Travel Sustainable,"Set in the centre of Brisbane, within 600 metres of Queen Street Mall and 600 metres of City Botanical Gardens, Lvl 59 Skytower Amazing Views CBD Wifi Carpark by Stylish Stays is an accommodation..."
89,ibis Styles Brisbane Elizabeth Street,"Brisbane CBD, Brisbane",8.4,Very good ,"2,816 reviews",350 m from centre,Not Travel Sustainable,"ibis Styles Brisbane Elizabeth Street is set in Brisbane, 100 metres from Treasury Building - Casino and 1.8 km from Suncorp Stadium. Guests can enjoy the on-site bar. Rooms have a TV. "
90,Central Dockside Apartment Hotel,"Kangaroo Point, Brisbane",8.2,Very good ,"1,327 reviews",1.6 km from centre,Travel Sustainable,"Central Dockside Apartment Hotel offers spacious, self-catering apartments in Kangaroo Point, overlooking the Brisbane River and the city skyline. "
91,Novotel Brisbane Airport,Brisbane,8.3,Very good ,866 reviews,8.6 km from centre,Not Travel Sustainable,"Ideally positioned within the Brisbane Airport precinct, this Novotel hotel offers modern rooms and suites, restaurant, bar and 24-hour reception. "
92,The Point Brisbane Hotel,"Kangaroo Point, Brisbane",8.3,Very good ,"1,359 reviews",1.6 km from centre,Travel Sustainable,The Point Brisbane is located at Kangaroo Point with views of Brisbane River and the city. It is a 5-minute drive from The Gabba. A free weekday shuttle takes guests to the local City Hopper terminal....
93,Oaks Brisbane Woolloongabba Suites,"Woolloongabba, Brisbane",8.4,Very good ,843 reviews,3.5 km from centre,Travel Sustainable,"Located in the vibrant, inner-city suburb of Woolloongabba and offering accommodation with air conditioning, Oaks Brisbane Woolloongabba Suites is 1.4 km from Gabba Brisbane Cricket Ground. "
94,Brisbane International Virginia,"boondall, Brisbane",8.3,Very good ,"1,289 reviews",12.5 km from centre,Travel Sustainable,"Set amongst 6 acres of lush tropical gardens in Brisbane’s north, this 4-star hotel features a swimming pool and a restaurant. All accommodation includes free cable TV. "
95,Sustainable B&B by the Bay,Brisbane,9.7,Exceptional ,80 reviews,15 km from centre,Travel Sustainable,"Featuring a garden and a terrace, Sustainable B&B is situated in Brisbane, 12 km from Brisbane Powerhouse and 14 km from Story Bridge. "
96,Mount Gravatt Guesthouse,Brisbane,9.3,Superb ,170 reviews,8.9 km from centre,Travel Sustainable,"Located in Brisbane, 7 km from Gabba Brisbane Cricket Ground, Mt Gravatt East Guesthouse is a 4-star bed and breakfast that has barbecue facilities and a garden. "
97,The Sebel Brisbane,"Brisbane CBD, Brisbane",8.2,Very good ,"1,001 reviews",0.5 km from centre,Travel Sustainable,"The Sebel Brisbane is superbly located within the heart of Brisbane CBD, just 5 minutes’ walk from the city’s major retail area around Queen Street Mall. "
98,99 Kirkland Bed & Breakfast,"Coorparoo, Brisbane",8.7,Fabulous ,287 reviews,4.5 km from centre,Not Travel Sustainable,"99 Kirkland Bed & Breakfast is located in the inner Brisbane suburb of Coorparoo, it offers free Wi-Fi and is 10 minutes’ drive from the city centre. "
99,Kennigo Hotel Brisbane,"Spring Hill, Brisbane",8.2,Very good ,"1,604 reviews",1.6 km from centre,Travel Sustainable,"Ideally located to explore the best of Brisbane, Kennigo Hotel Brisbane is situated in the historic suburb of Spring Hill, just 2 km from the heart of the CBD. "
100,Paperbark Bed & Breakfast,Brisbane,9.8,Exceptional ,52 reviews,8.6 km from centre,Not Travel Sustainable,"Featuring free WiFi and an outdoor swimming pool, Paperbark Bed & Breakfast offers accommodation in Brisbane, 10.4 km from both Brisbane Lookout Mt Coot-tha and Summit Restaurant & Bar. "
101,Central Cosmo Apartment Hotel,"Milton, Brisbane",8.3,Very good ,"2,512 reviews",1.7 km from centre,Not Travel Sustainable,"Overlooking the Brisbane River, Central Cosmo Apartments offers self-catering accommodation with panoramic views. Situated in Milton, Brisbane CBD (Central Business District) is a 3-minute drive away...."
102,Quest Breakfast Creek,"Albion, Brisbane",8.4,Very good ,411 reviews,4 km from centre,Travel Sustainable,"Located just 5 minutes’ drive from the Brisbane CBD and directly opposite the popular Breakfast Creek Hotel, Quest Breakfast Creek features an outdoor pool, fitness centre and secure car parking. "
